"","Country","Export","Year","import","Net","Region","shape"
"5230","Zimbabwe",0,"1961",0,0,"Sub-Saharan Africa","Other"
"5237","Afghanistan",26666680,"1962",51111111.11,-24444431.11,"South Asia","Other"
"5247","Angola",0,"1962",0,0,"Sub-Saharan Africa","Other"
"5264","Albania",0,"1962",0,0,"Europe & Central Asia","Other"
"5281","United Arab Emirates",0,"1962",0,0,"Middle East & North Africa","Other"
"5298","Argentina",1147183934,"1962",2294367227,-1147183293,"Latin America & Caribbean","Other"
"5315","Armenia",0,"1962",0,0,"Europe & Central Asia","Other"
"5332","Australia",2772986897,"1962",2512039422,260947475,"East Asia & Pacific","Other"
"5349","Austria",1816199712,"1962",1721989636,94210076,"Europe & Central Asia","Other"
"5366","Azerbaijan",0,"1962",0,0,"Europe & Central Asia","Other"
"5383","Burundi",2.8e+07,"1962",3.5e+07,-7e+06,"Sub-Saharan Africa","Other"
"5400","Belgium",5381621193,"1962",5383141329,-1520136,"Europe & Central Asia","Other"
"5417","Benin",8317361.995,"1962",23547272.22,-15229910.225,"Sub-Saharan Africa","Other"
"5434","Burkina Faso",20997594.42,"1962",59614687.01,-38617092.59,"Sub-Saharan Africa","Other"
"5451","Bangladesh",546086853.3,"1962",549204082.3,-3117229,"South Asia","Other"
"5468","Bulgaria",0,"1962",0,0,"Europe & Central Asia","Other"
"5485","Bahrain",0,"1962",0,0,"Middle East & North Africa","Other"
"5502","Bosnia and Herzegovina",0,"1962",0,0,"Europe & Central Asia","Other"
"5519","Belarus",0,"1962",0,0,"Europe & Central Asia","Other"
"5536","Belize",0,"1962",0,0,"Latin America & Caribbean","Other"
"5553","Bolivia",67363395.05,"1962",113858328.2,-46494933.15,"Latin America & Caribbean","Other"
"5570","Brazil",770900519.7,"1962",1033970196,-263069676.3,"Latin America & Caribbean","Target"
"5587","Barbados",0,"1962",0,0,"Latin America & Caribbean","Other"
"5604","Bhutan",0,"1962",0,0,"South Asia","Other"
