"","Country","Region","Year","GDP per Capita","HDI"
"374","Iceland","Europe & Central Asia",1992,26722.44119,0.818
"375","India","South Asia",1992,318.1034474,0.438
"376","Indonesia","East Asia & Pacific",1992,681.8428679,0.539
"377","Iraq","Middle East & North Africa",1992,NA,0.541
"378","Ireland","Europe & Central Asia",1992,15733.20439,0.773
"379","Israel","Middle East & North Africa",1992,14752.27463,0.807
"380","Italy","Europe & Central Asia",1992,23166.80406,0.78
"381","Jamaica","Latin America & Caribbean",1992,1432.200524,0.645
"382","Japan","East Asia & Pacific",1992,31464.54905,0.824
"383","Jordan","Middle East & North Africa",1992,1338.473803,0.648
"384","Kazakhstan","Europe & Central Asia",1992,1515.104059,NA
"385","Kenya","Sub-Saharan Africa",1992,328.8393137,0.463
"386","Kiribati","East Asia & Pacific",1992,638.4725668,NA
"387","Kuwait","Middle East & North Africa",1992,NA,0.666
"388","Latvia","Europe & Central Asia",1992,NA,0.678
"389","Lebanon","Middle East & North Africa",1992,2070.823861,NA
"390","Lesotho","Sub-Saharan Africa",1992,498.4844778,0.499
"391","Liberia","Sub-Saharan Africa",1992,NA,NA
"392","Libya","Middle East & North Africa",1992,7284.747991,0.692
"393","Lithuania","Europe & Central Asia",1992,NA,0.713
"394","Luxembourg","Europe & Central Asia",1992,40965.74432,0.795
"395","Madagascar","Sub-Saharan Africa",1992,245.8643162,NA
"396","Malawi","Sub-Saharan Africa",1992,184.9506087,0.355
"397","Malaysia","East Asia & Pacific",1992,3111.976879,0.66
"398","Maldives","South Asia",1992,1206.034796,NA
"399","Mali","Sub-Saharan Africa",1992,319.191412,0.243
"400","Malta","Middle East & North Africa",1992,8220.245518,0.749
"401","Mauritania","Sub-Saharan Africa",1992,683.833774,0.387
"402","Mauritius","Sub-Saharan Africa",1992,2973.206977,0.633
"403","Mexico","Latin America & Caribbean",1992,4088.309214,0.658
"404","Mongolia","East Asia & Pacific",1992,587.3013993,0.561
"405","Montenegro","Europe & Central Asia",1992,NA,NA
"406","Morocco","Middle East & North Africa",1992,1295.422632,0.468
"407","Mozambique","Sub-Saharan Africa",1992,162.8269598,0.208
"408","Myanmar","East Asia & Pacific",1992,NA,0.38
"409","Namibia","Sub-Saharan Africa",1992,2262.460212,0.587
"410","Nepal","South Asia",1992,172.0062101,0.394
"411","Netherlands","Europe & Central Asia",1992,23598.95076,0.835
"412","NewZealand","East Asia & Pacific",1992,11789.22501,0.825
"413","Nicaragua","Latin America & Caribbean",1992,413.9194976,0.505
"414","Niger","Sub-Saharan Africa",1992,274.2860354,0.216
"415","Nigeria","Sub-Saharan Africa",1992,476.8926405,NA
"416","Norway","Europe & Central Asia",1992,30523.98506,0.862
"417","Oman","Middle East & North Africa",1992,6278.636662,NA
"418","Pakistan","South Asia",1992,427.5727635,0.414
"419","Panama","Latin America & Caribbean",1992,3122.003689,0.673
"420","PapuaNewGuinea","East Asia & Pacific",1992,965.2653963,0.398
"421","Paraguay","Latin America & Caribbean",1992,1614.674104,0.589
"422","Peru","Latin America & Caribbean",1992,1589.441715,0.617
"423","Philippines","East Asia & Pacific",1992,814.0752868,0.589
"424","Poland","Europe & Central Asia",1992,2459.020685,0.714
"425","Portugal","Europe & Central Asia",1992,10811.63064,0.732
"426","Qatar","Middle East & North Africa",1992,15430.65926,0.753
"427","Romania","Europe & Central Asia",1992,1102.103785,0.678
"428","RussianFederation","Europe & Central Asia",1992,3095.659779,0.718
"429","Rwanda","Sub-Saharan Africa",1992,302.7561645,0.213
"430","Samoa","East Asia & Pacific",1992,799.0761694,0.624
"431","SaoTomeandPrincipe","Sub-Saharan Africa",1992,NA,0.458
"432","SaudiArabia","Middle East & North Africa",1992,7888.209563,0.711
"433","Senegal","Sub-Saharan Africa",1992,946.7329547,0.368
"434","Serbia","Europe & Central Asia",1992,NA,0.702
"435","Seychelles","Sub-Saharan Africa",1992,6128.445569,NA
"436","SierraLeone","Sub-Saharan Africa",1992,156.9951224,0.264
